file_path,filename,crop,condition_type,disease_name,scientific_name,canonical_id,class_index,source,domain,split
cv/datasets/raw/plantdoc_repo/train/Raspberry leaf/raspberry-leaves-1024x783.jpg,raspberry-leaves-1024x783.jpg,raspberry,healthy,Healthy Raspberry Leaf,,raspberry__healthy__healthy,23,plantdoc_field,field,train
cv/datasets/raw/plantdoc_repo/train/Tomato Septoria leaf spot/BCH%20medium%20thumbnail%20for%20upload%20%2861%29.jpg,BCH%20medium%20thumbnail%20for%20upload%20%2861%29.jpg,tomato,fungal,Septoria Leaf Spot,Septoria lycopersici,tomato__fungal__septoria_leaf_spot,32,plantdoc_field,field,train
cv/datasets/raw/plantdoc_repo/train/grape leaf/img_0389.jpg,img_0389.jpg,grape,healthy,Healthy Grape Leaf,,grape__healthy__healthy,14,plantdoc_field,field,train
cv/datasets/raw/plantdoc_repo/train/Soyabean leaf/IMG_4810.jpg,IMG_4810.jpg,soybean,healthy,Healthy Soybean Leaf,,soybean__healthy__healthy,24,plantdoc_field,field,train
cv/datasets/raw/plantdoc_repo/train/Bell_pepper leaf/virus1_600px.jpg,virus1_600px.jpg,pepper,healthy,Healthy Pepper Leaf,,pepper__healthy__healthy,19,plantdoc_field,field,train
cv/datasets/raw/plantdoc_repo/train/Tomato leaf bacterial spot/Bacterial_spots2277.jpg,Bacterial_spots2277.jpg,tomato,bacterial,Bacterial Spot,Xanthomonas perforans,tomato__bacterial__bacterial_spot,28,plantdoc_field,field,train
cv/datasets/raw/plantdoc_repo/train/Tomato Early blight leaf/early-blight-in-high-tunnel-tomatoes-19tm74h.jpg,early-blight-in-high-tunnel-tomatoes-19tm74h.jpg,tomato,fungal,Early Blight,Alternaria solani,tomato__fungal__early_blight,29,plantdoc_field,field,train
cv/datasets/raw/plantdoc_repo/train/Peach leaf/stock-photo-peach-leaves-isolated-on-white-background-529501441.jpg,stock-photo-peach-leaves-isolated-on-white-background-529501441.jpg,peach,healthy,Healthy Peach Leaf,,peach__healthy__healthy,17,plantdoc_field,field,train
cv/datasets/raw/plantdoc_repo/train/Tomato leaf mosaic virus/tomato-mosaic-virus-1.jpg,tomato-mosaic-virus-1.jpg,tomato,viral,Mosaic Virus,ToMV,tomato__viral__tomato_mosaic_virus,36,plantdoc_field,field,train
cv/datasets/raw/plantdoc_repo/train/Tomato leaf/russian-2-319-dt-2010-leaves-high-tunnel-9-29-2014-c.jpg,russian-2-319-dt-2010-leaves-high-tunnel-9-29-2014-c.jpg,tomato,healthy,Healthy Tomato Leaf,,tomato__healthy__healthy,37,plantdoc_field,field,train
cv/datasets/raw/plantdoc_repo/train/Potato leaf late blight/Jessore-potato-late-blight-8-2h2fdkl.jpg,Jessore-potato-late-blight-8-2h2fdkl.jpg,potato,fungal,Late Blight,Phytophthora infestans,potato__fungal__late_blight,21,plantdoc_field,field,train
cv/datasets/raw/plantdoc_repo/train/Soyabean leaf/downy-mildew-on-soybeans-2csq9n7.jpg,downy-mildew-on-soybeans-2csq9n7.jpg,soybean,healthy,Healthy Soybean Leaf,,soybean__healthy__healthy,24,plantdoc_field,field,train
cv/datasets/raw/plantdoc_repo/train/Tomato leaf yellow virus/art_15017325188173_a24a66.jpg,art_15017325188173_a24a66.jpg,tomato,viral,Yellow Leaf Curl Virus,TYLCV,tomato__viral__tomato_yellow_leaf_curl_virus,35,plantdoc_field,field,train
cv/datasets/raw/plantdoc_repo/train/Corn leaf blight/corn-fig-2.jpg,corn-fig-2.jpg,corn,fungal,Northern Leaf Blight,Exserohilum turcicum,corn__fungal__northern_leaf_blight,9,plantdoc_field,field,train
cv/datasets/raw/plantdoc_repo/train/Tomato leaf/003.JPG.jpg,003.JPG.jpg,tomato,healthy,Healthy Tomato Leaf,,tomato__healthy__healthy,37,plantdoc_field,field,train
cv/datasets/raw/plantdoc_repo/train/Apple rust leaf/car.jpg,car.jpg,apple,fungal,Cedar Apple Rust,Gymnosporangium juniperi-virginianae,apple__fungal__cedar_apple_rust,2,plantdoc_field,field,train
cv/datasets/raw/plantdoc_repo/train/Tomato leaf yellow virus/TYLCV-tomate-DB-445-171.jpg,TYLCV-tomate-DB-445-171.jpg,tomato,viral,Yellow Leaf Curl Virus,TYLCV,tomato__viral__tomato_yellow_leaf_curl_virus,35,plantdoc_field,field,train
cv/datasets/raw/plantdoc_repo/train/Potato leaf late blight/IMG_5813-1024x768.jpg,IMG_5813-1024x768.jpg,potato,fungal,Late Blight,Phytophthora infestans,potato__fungal__late_blight,21,plantdoc_field,field,train
cv/datasets/raw/plantdoc_repo/train/Corn leaf blight/NCLB6.jpg,NCLB6.jpg,corn,fungal,Northern Leaf Blight,Exserohilum turcicum,corn__fungal__northern_leaf_blight,9,plantdoc_field,field,train
cv/datasets/raw/plantdoc_repo/train/Corn rust leaf/Corn-Southern-Rust-7-17-F1.jpg,Corn-Southern-Rust-7-17-F1.jpg,corn,fungal,Common Rust,Puccinia sorghi,corn__fungal__common_rust,8,plantdoc_field,field,train
cv/datasets/raw/plantdoc_repo/train/Strawberry leaf/stock-photo-leaf-strawberry-leaf-on-the-white-background-153348767.jpg,stock-photo-leaf-strawberry-leaf-on-the-white-background-153348767.jpg,strawberry,healthy,Healthy Strawberry Leaf,,strawberry__healthy__healthy,27,plantdoc_field,field,train
cv/datasets/raw/plantdoc_repo/train/Apple leaf/stock-photo-apple-leaves-isolated-on-white-background-232913425.jpg,stock-photo-apple-leaves-isolated-on-white-background-232913425.jpg,apple,healthy,Healthy Apple Leaf,,apple__healthy__healthy,3,plantdoc_field,field,train
cv/datasets/raw/plantdoc_repo/train/grape leaf/grape-leaves-21658567.jpg,grape-leaves-21658567.jpg,grape,healthy,Healthy Grape Leaf,,grape__healthy__healthy,14,plantdoc_field,field,train
cv/datasets/raw/plantdoc_repo/train/Apple rust leaf/cedapp04_lg.jpg,cedapp04_lg.jpg,apple,fungal,Cedar Apple Rust,Gymnosporangium juniperi-virginianae,apple__fungal__cedar_apple_rust,2,plantdoc_field,field,train
cv/datasets/raw/plantdoc_repo/train/Potato leaf early blight/agriculture-potato-early-blight-leaf-symptoms-on-a-potato-leaf-caused-picture-id586884353.jpg,agriculture-potato-early-blight-leaf-symptoms-on-a-potato-leaf-caused-picture-id586884353.jpg,potato,fungal,Early Blight,Alternaria solani,potato__fungal__early_blight,20,plantdoc_field,field,train
cv/datasets/raw/plantdoc_repo/train/Strawberry leaf/dew-on-a-leaf-stock-image-1226834.jpg,dew-on-a-leaf-stock-image-1226834.jpg,strawberry,healthy,Healthy Strawberry Leaf,,strawberry__healthy__healthy,27,plantdoc_field,field,train
cv/datasets/raw/plantdoc_repo/train/Tomato leaf bacterial spot/Tomato%20greenhouse%20phythotoxicity03F.JPG.jpg,Tomato%20greenhouse%20phythotoxicity03F.JPG.jpg,tomato,bacterial,Bacterial Spot,Xanthomonas perforans,tomato__bacterial__bacterial_spot,28,plantdoc_field,field,train
cv/datasets/raw/plantdoc_repo/train/Apple rust leaf/car-apple1.jpg,car-apple1.jpg,apple,fungal,Cedar Apple Rust,Gymnosporangium juniperi-virginianae,apple__fungal__cedar_apple_rust,2,plantdoc_field,field,train
cv/datasets/raw/plantdoc_repo/train/Apple rust leaf/apple_leaf.JPG.jpg,apple_leaf.JPG.jpg,apple,fungal,Cedar Apple Rust,Gymnosporangium juniperi-virginianae,apple__fungal__cedar_apple_rust,2,plantdoc_field,field,train
cv/datasets/raw/plantdoc_repo/train/Strawberry leaf/F-vesca-leaf1.jpg,F-vesca-leaf1.jpg,strawberry,healthy,Healthy Strawberry Leaf,,strawberry__healthy__healthy,27,plantdoc_field,field,train
cv/datasets/raw/plantdoc_repo/train/Peach leaf/peach-tree-leaf-3-1024x681.jpg,peach-tree-leaf-3-1024x681.jpg,peach,healthy,Healthy Peach Leaf,,peach__healthy__healthy,17,plantdoc_field,field,train
cv/datasets/raw/plantdoc_repo/train/Tomato leaf late blight/August-17-2012-Supplemental-6.jpg,August-17-2012-Supplemental-6.jpg,tomato,fungal,Late Blight,Phytophthora infestans,tomato__fungal__late_blight,30,plantdoc_field,field,train
cv/datasets/raw/plantdoc_repo/train/Apple leaf/green-apple-fruits-leaf-16266077.jpg,green-apple-fruits-leaf-16266077.jpg,apple,healthy,Healthy Apple Leaf,,apple__healthy__healthy,3,plantdoc_field,field,train
cv/datasets/raw/plantdoc_repo/train/Tomato leaf yellow virus/tomato-yellow-leaf-curl-virus-tomato-1.jpg,tomato-yellow-leaf-curl-virus-tomato-1.jpg,tomato,viral,Yellow Leaf Curl Virus,TYLCV,tomato__viral__tomato_yellow_leaf_curl_virus,35,plantdoc_field,field,train
cv/datasets/raw/plantdoc_repo/train/Bell_pepper leaf spot/04.jpg,04.jpg,pepper,bacterial,Bacterial Spot,Xanthomonas campestris,pepper__bacterial__bacterial_spot,18,plantdoc_field,field,train
cv/datasets/raw/plantdoc_repo/train/Potato leaf early blight/blighted-potatoe-leave.jpg,blighted-potatoe-leave.jpg,potato,fungal,Early Blight,Alternaria solani,potato__fungal__early_blight,20,plantdoc_field,field,train
cv/datasets/raw/plantdoc_repo/train/Corn leaf blight/DSCN0128.jpg,DSCN0128.jpg,corn,fungal,Northern Leaf Blight,Exserohilum turcicum,corn__fungal__northern_leaf_blight,9,plantdoc_field,field,train
cv/datasets/raw/plantdoc_repo/train/Apple Scab Leaf/scab-venturia-inaequalis-development-of-disease-on-the-stem-upper-B359MJ.jpg,scab-venturia-inaequalis-development-of-disease-on-the-stem-upper-B359MJ.jpg,apple,fungal,Apple Scab,Venturia inaequalis,apple__fungal__apple_scab,0,plantdoc_field,field,train
cv/datasets/raw/plantdoc_repo/train/Tomato leaf bacterial spot/39765006175_e2f0da764d_b.jpg,39765006175_e2f0da764d_b.jpg,tomato,bacterial,Bacterial Spot,Xanthomonas perforans,tomato__bacterial__bacterial_spot,28,plantdoc_field,field,train
cv/datasets/raw/plantdoc_repo/train/Apple Scab Leaf/applescab-500x383.jpg,applescab-500x383.jpg,apple,fungal,Apple Scab,Venturia inaequalis,apple__fungal__apple_scab,0,plantdoc_field,field,train
cv/datasets/raw/plantdoc_repo/train/Apple leaf/green-leaf-apple-tree-isolated-white-background-33032695.jpg,green-leaf-apple-tree-isolated-white-background-33032695.jpg,apple,healthy,Healthy Apple Leaf,,apple__healthy__healthy,3,plantdoc_field,field,train
cv/datasets/raw/plantdoc_repo/train/Peach leaf/stock-photo-peach-leaf-isolated-on-white-background-254975221.jpg,stock-photo-peach-leaf-isolated-on-white-background-254975221.jpg,peach,healthy,Healthy Peach Leaf,,peach__healthy__healthy,17,plantdoc_field,field,train
cv/datasets/raw/plantdoc_repo/train/Cherry leaf/radish-black-cherry-fruits-leaves.jpg,radish-black-cherry-fruits-leaves.jpg,cherry,healthy,Healthy Cherry Leaf,,cherry__healthy__healthy,6,plantdoc_field,field,train
cv/datasets/raw/plantdoc_repo/train/Bell_pepper leaf spot/PepperPhytophLeaf3-2f94629.jpg,PepperPhytophLeaf3-2f94629.jpg,pepper,bacterial,Bacterial Spot,Xanthomonas campestris,pepper__bacterial__bacterial_spot,18,plantdoc_field,field,train
cv/datasets/raw/plantdoc_repo/train/Peach leaf/product_Peach-leaf.jpg,product_Peach-leaf.jpg,peach,healthy,Healthy Peach Leaf,,peach__healthy__healthy,17,plantdoc_field,field,train
cv/datasets/raw/plantdoc_repo/train/Apple leaf/CRABAPPLE2_leaves.jpg,CRABAPPLE2_leaves.jpg,apple,healthy,Healthy Apple Leaf,,apple__healthy__healthy,3,plantdoc_field,field,train
cv/datasets/raw/plantdoc_repo/train/Squash Powdery mildew leaf/dc4cfbd6f94d0435ab166a06acb1cde0.jpg,dc4cfbd6f94d0435ab166a06acb1cde0.jpg,squash,fungal,Powdery Mildew,Podosphaera xanthii,squash__fungal__powdery_mildew,25,plantdoc_field,field,train
cv/datasets/raw/plantdoc_repo/train/Tomato Early blight leaf/1058_0.jpeg_itok_OQkdtxgv.jpg,1058_0.jpeg_itok_OQkdtxgv.jpg,tomato,fungal,Early Blight,Alternaria solani,tomato__fungal__early_blight,29,plantdoc_field,field,train
cv/datasets/raw/plantdoc_repo/train/Potato leaf late blight/White-mould-potato-blight.jpg,White-mould-potato-blight.jpg,potato,fungal,Late Blight,Phytophthora infestans,potato__fungal__late_blight,21,plantdoc_field,field,train
cv/datasets/raw/plantdoc_repo/train/Tomato Early blight leaf/tomato-blight-soil-treatment-early-tomato-blight-in-a-microcosm-lower-leaves-curl-up-and-die-bulls-eye-lesions-tomato-fungus-soil-treatment.jpg,tomato-blight-soil-treatment-early-tomato-blight-in-a-microcosm-lower-leaves-curl-up-and-die-bulls-eye-lesions-tomato-fungus-soil-treatment.jpg,tomato,fungal,Early Blight,Alternaria solani,tomato__fungal__early_blight,29,plantdoc_field,field,train
cv/datasets/raw/plantdoc_repo/train/Tomato leaf yellow virus/36ca1410e232eec4a8003fe411246820.jpg,36ca1410e232eec4a8003fe411246820.jpg,tomato,viral,Yellow Leaf Curl Virus,TYLCV,tomato__viral__tomato_yellow_leaf_curl_virus,35,plantdoc_field,field,train
cv/datasets/raw/plantdoc_repo/train/Cherry leaf/prunus-pensylvanica-007.jpg,prunus-pensylvanica-007.jpg,cherry,healthy,Healthy Cherry Leaf,,cherry__healthy__healthy,6,plantdoc_field,field,train
cv/datasets/raw/plantdoc_repo/train/Apple leaf/green-apple-leaf-slice-isolated-white-ripe-background-clipping-path-42352971.jpg,green-apple-leaf-slice-isolated-white-ripe-background-clipping-path-42352971.jpg,apple,healthy,Healthy Apple Leaf,,apple__healthy__healthy,3,plantdoc_field,field,train
cv/datasets/raw/plantdoc_repo/train/Tomato leaf late blight/TOMATO%20LATE%20BLIGHT%20ON%20LEAF.jpg,TOMATO%20LATE%20BLIGHT%20ON%20LEAF.jpg,tomato,fungal,Late Blight,Phytophthora infestans,tomato__fungal__late_blight,30,plantdoc_field,field,train
cv/datasets/raw/plantdoc_repo/train/Raspberry leaf/18183295-H.jpg,18183295-H.jpg,raspberry,healthy,Healthy Raspberry Leaf,,raspberry__healthy__healthy,23,plantdoc_field,field,train
cv/datasets/raw/plantdoc_repo/train/Blueberry leaf/stock-photo-blueberry-leaves-isolated-on-white-background-collection-569223157.jpg,stock-photo-blueberry-leaves-isolated-on-white-background-collection-569223157.jpg,blueberry,healthy,Healthy Blueberry Leaf,,blueberry__healthy__healthy,4,plantdoc_field,field,train
cv/datasets/raw/plantdoc_repo/train/Tomato Septoria leaf spot/5775225744523264.jpeg.jpg,5775225744523264.jpeg.jpg,tomato,fungal,Septoria Leaf Spot,Septoria lycopersici,tomato__fungal__septoria_leaf_spot,32,plantdoc_field,field,train
cv/datasets/raw/plantdoc_repo/train/Cherry leaf/2febe52cfac784c3191c804390d51ab756a3a7c8b9314_1260x1260.jpg,2febe52cfac784c3191c804390d51ab756a3a7c8b9314_1260x1260.jpg,cherry,healthy,Healthy Cherry Leaf,,cherry__healthy__healthy,6,plantdoc_field,field,train
cv/datasets/raw/plantdoc_repo/train/Raspberry leaf/leaves-of-a-raspberry-stock-photo-1214081.jpg,leaves-of-a-raspberry-stock-photo-1214081.jpg,raspberry,healthy,Healthy Raspberry Leaf,,raspberry__healthy__healthy,23,plantdoc_field,field,train
cv/datasets/raw/plantdoc_repo/train/Raspberry leaf/4cffdc67492014fcf2c5f34b0565fad7.jpg,4cffdc67492014fcf2c5f34b0565fad7.jpg,raspberry,healthy,Healthy Raspberry Leaf,,raspberry__healthy__healthy,23,plantdoc_field,field,train
cv/datasets/raw/plantdoc_repo/train/Tomato leaf mosaic virus/wd0phb4.jpg,wd0phb4.jpg,tomato,viral,Mosaic Virus,ToMV,tomato__viral__tomato_mosaic_virus,36,plantdoc_field,field,train
cv/datasets/raw/plantdoc_repo/train/Squash Powdery mildew leaf/1895543477_9d19ad5257_b.jpg,1895543477_9d19ad5257_b.jpg,squash,fungal,Powdery Mildew,Podosphaera xanthii,squash__fungal__powdery_mildew,25,plantdoc_field,field,train
cv/datasets/raw/plantdoc_repo/train/Peach leaf/foodjuly2011+026.jpg,foodjuly2011+026.jpg,peach,healthy,Healthy Peach Leaf,,peach__healthy__healthy,17,plantdoc_field,field,train
cv/datasets/raw/plantdoc_repo/train/Squash Powdery mildew leaf/white-powdery-mildew-leaves.jpg,white-powdery-mildew-leaves.jpg,squash,fungal,Powdery Mildew,Podosphaera xanthii,squash__fungal__powdery_mildew,25,plantdoc_field,field,train
cv/datasets/raw/plantdoc_repo/train/Squash Powdery mildew leaf/Powdery+Milew+Squash+003.jpg,Powdery+Milew+Squash+003.jpg,squash,fungal,Powdery Mildew,Podosphaera xanthii,squash__fungal__powdery_mildew,25,plantdoc_field,field,train
cv/datasets/raw/plantdoc_repo/train/Cherry leaf/Carolina%2BCherry%2BLaurel%2Bproblem3.jpg,Carolina%2BCherry%2BLaurel%2Bproblem3.jpg,cherry,healthy,Healthy Cherry Leaf,,cherry__healthy__healthy,6,plantdoc_field,field,train
cv/datasets/raw/plantdoc_repo/train/Corn leaf blight/gosswilt_TMB.jpg,gosswilt_TMB.jpg,corn,fungal,Northern Leaf Blight,Exserohilum turcicum,corn__fungal__northern_leaf_blight,9,plantdoc_field,field,train
cv/datasets/raw/plantdoc_repo/train/Corn leaf blight/corn-bacterial-leaf-streak-narrow-stripes.jpg,corn-bacterial-leaf-streak-narrow-stripes.jpg,corn,fungal,Northern Leaf Blight,Exserohilum turcicum,corn__fungal__northern_leaf_blight,9,plantdoc_field,field,train
cv/datasets/raw/plantdoc_repo/train/Corn rust leaf/IMG_1376-300x300.jpg,IMG_1376-300x300.jpg,corn,fungal,Common Rust,Puccinia sorghi,corn__fungal__common_rust,8,plantdoc_field,field,train
cv/datasets/raw/plantdoc_repo/train/Strawberry leaf/strawberry-leaf-stock-image-3662904.jpg,strawberry-leaf-stock-image-3662904.jpg,strawberry,healthy,Healthy Strawberry Leaf,,strawberry__healthy__healthy,27,plantdoc_field,field,train
cv/datasets/raw/plantdoc_repo/train/Bell_pepper leaf spot/Septoria-leaf-spot.jpg,Septoria-leaf-spot.jpg,pepper,bacterial,Bacterial Spot,Xanthomonas campestris,pepper__bacterial__bacterial_spot,18,plantdoc_field,field,train
cv/datasets/raw/plantdoc_repo/train/Potato leaf early blight/early_blight1.jpg,early_blight1.jpg,potato,fungal,Early Blight,Alternaria solani,potato__fungal__early_blight,20,plantdoc_field,field,train
cv/datasets/raw/plantdoc_repo/train/Squash Powdery mildew leaf/squash-powdery-mildew.jpg,squash-powdery-mildew.jpg,squash,fungal,Powdery Mildew,Podosphaera xanthii,squash__fungal__powdery_mildew,25,plantdoc_field,field,train
cv/datasets/raw/plantdoc_repo/train/Apple Scab Leaf/Apple_scab_symptoms_on_leaf.jpg,Apple_scab_symptoms_on_leaf.jpg,apple,fungal,Apple Scab,Venturia inaequalis,apple__fungal__apple_scab,0,plantdoc_field,field,train
cv/datasets/raw/plantdoc_repo/train/Corn leaf blight/4885423651_3c983eaa16_b.jpg,4885423651_3c983eaa16_b.jpg,corn,fungal,Northern Leaf Blight,Exserohilum turcicum,corn__fungal__northern_leaf_blight,9,plantdoc_field,field,train
cv/datasets/raw/plantdoc_repo/train/Corn Gray leaf spot/gray%20leaf%20spot.jpg,gray%20leaf%20spot.jpg,corn,fungal,Gray Leaf Spot,Cercospora zeae-maydis,corn__fungal__cercospora_leaf_spot_gray_leaf_spot,7,plantdoc_field,field,train
cv/datasets/raw/plantdoc_repo/train/Blueberry leaf/IMG_0002_original.JPG_1500100269.jpg,IMG_0002_original.JPG_1500100269.jpg,blueberry,healthy,Healthy Blueberry Leaf,,blueberry__healthy__healthy,4,plantdoc_field,field,train
cv/datasets/raw/plantdoc_repo/train/Apple leaf/stock-photo-red-apple-with-leaf-124592107.jpg,stock-photo-red-apple-with-leaf-124592107.jpg,apple,healthy,Healthy Apple Leaf,,apple__healthy__healthy,3,plantdoc_field,field,train
cv/datasets/raw/plantdoc_repo/train/Apple rust leaf/Figure-1.-Typical-cedar-apple-rust-lesions-on-upper-surface-of-apple-leaf.jpg,Figure-1.-Typical-cedar-apple-rust-lesions-on-upper-surface-of-apple-leaf.jpg,apple,fungal,Cedar Apple Rust,Gymnosporangium juniperi-virginianae,apple__fungal__cedar_apple_rust,2,plantdoc_field,field,train
cv/datasets/raw/plantdoc_repo/train/Raspberry leaf/Black%20raspberry%20late%20leaf%20rust%2008F.JPG.jpg,Black%20raspberry%20late%20leaf%20rust%2008F.JPG.jpg,raspberry,healthy,Healthy Raspberry Leaf,,raspberry__healthy__healthy,23,plantdoc_field,field,train
cv/datasets/raw/plantdoc_repo/train/Peach leaf/image_original.jpeg_1473123508.jpg,image_original.jpeg_1473123508.jpg,peach,healthy,Healthy Peach Leaf,,peach__healthy__healthy,17,plantdoc_field,field,train
cv/datasets/raw/plantdoc_repo/train/Corn leaf blight/Corn_Fig10.jpg,Corn_Fig10.jpg,corn,fungal,Northern Leaf Blight,Exserohilum turcicum,corn__fungal__northern_leaf_blight,9,plantdoc_field,field,train
cv/datasets/raw/plantdoc_repo/train/Tomato Septoria leaf spot/4853086777_bc41d29801.jpg,4853086777_bc41d29801.jpg,tomato,fungal,Septoria Leaf Spot,Septoria lycopersici,tomato__fungal__septoria_leaf_spot,32,plantdoc_field,field,train
cv/datasets/raw/plantdoc_repo/train/Potato leaf late blight/lateblightlesions_1.jpg,lateblightlesions_1.jpg,potato,fungal,Late Blight,Phytophthora infestans,potato__fungal__late_blight,21,plantdoc_field,field,train
cv/datasets/raw/plantdoc_repo/train/Tomato leaf mosaic virus/tomato-mosaic-virus-leaf.jpg,tomato-mosaic-virus-leaf.jpg,tomato,viral,Mosaic Virus,ToMV,tomato__viral__tomato_mosaic_virus,36,plantdoc_field,field,train
cv/datasets/raw/plantdoc_repo/train/Tomato leaf late blight/tomato_late-blight_01_zoom.jpg,tomato_late-blight_01_zoom.jpg,tomato,fungal,Late Blight,Phytophthora infestans,tomato__fungal__late_blight,30,plantdoc_field,field,train
cv/datasets/raw/plantdoc_repo/train/Tomato leaf/tomato-leaves.jpg,tomato-leaves.jpg,tomato,healthy,Healthy Tomato Leaf,,tomato__healthy__healthy,37,plantdoc_field,field,train
cv/datasets/raw/plantdoc_repo/train/Strawberry leaf/18423_original.jpg,18423_original.jpg,strawberry,healthy,Healthy Strawberry Leaf,,strawberry__healthy__healthy,27,plantdoc_field,field,train
cv/datasets/raw/plantdoc_repo/train/Potato leaf late blight/24064_1.jpg,24064_1.jpg,potato,fungal,Late Blight,Phytophthora infestans,potato__fungal__late_blight,21,plantdoc_field,field,train
cv/datasets/raw/plantdoc_repo/train/Blueberry leaf/img_8042.jpg,img_8042.jpg,blueberry,healthy,Healthy Blueberry Leaf,,blueberry__healthy__healthy,4,plantdoc_field,field,train
cv/datasets/raw/plantdoc_repo/train/Corn Gray leaf spot/g1902-1.jpg,g1902-1.jpg,corn,fungal,Gray Leaf Spot,Cercospora zeae-maydis,corn__fungal__cercospora_leaf_spot_gray_leaf_spot,7,plantdoc_field,field,train
cv/datasets/raw/plantdoc_repo/train/Squash Powdery mildew leaf/white-mold-on-squash-plants-powdery-mildew-on-plant-leaves-how-to-get-rid-of-white-mold-on-squash-plants-white-mold-on-squash-plants.jpg,white-mold-on-squash-plants-powdery-mildew-on-plant-leaves-how-to-get-rid-of-white-mold-on-squash-plants-white-mold-on-squash-plants.jpg,squash,fungal,Powdery Mildew,Podosphaera xanthii,squash__fungal__powdery_mildew,25,plantdoc_field,field,train
cv/datasets/raw/plantdoc_repo/train/Tomato leaf mosaic virus/mosaic_virus_tomato.jpg,mosaic_virus_tomato.jpg,tomato,viral,Mosaic Virus,ToMV,tomato__viral__tomato_mosaic_virus,36,plantdoc_field,field,train
cv/datasets/raw/plantdoc_repo/train/Bell_pepper leaf/green-pepper-leaves-11364990.jpg,green-pepper-leaves-11364990.jpg,pepper,healthy,Healthy Pepper Leaf,,pepper__healthy__healthy,19,plantdoc_field,field,train
cv/datasets/raw/plantdoc_repo/train/Tomato Early blight leaf/20080526-_DSC4211.jpg,20080526-_DSC4211.jpg,tomato,fungal,Early Blight,Alternaria solani,tomato__fungal__early_blight,29,plantdoc_field,field,train
cv/datasets/raw/plantdoc_repo/train/Apple leaf/2017-09-23-07-48-04.jpg,2017-09-23-07-48-04.jpg,apple,healthy,Healthy Apple Leaf,,apple__healthy__healthy,3,plantdoc_field,field,train
cv/datasets/raw/plantdoc_repo/train/Corn leaf blight/Figure-2-.jpg,Figure-2-.jpg,corn,fungal,Northern Leaf Blight,Exserohilum turcicum,corn__fungal__northern_leaf_blight,9,plantdoc_field,field,train
cv/datasets/raw/plantdoc_repo/train/Strawberry leaf/0008003-strawberry-leaf-veiner-large.jpg,0008003-strawberry-leaf-veiner-large.jpg,strawberry,healthy,Healthy Strawberry Leaf,,strawberry__healthy__healthy,27,plantdoc_field,field,train
cv/datasets/raw/plantdoc_repo/train/grape leaf black rot/Black_Rot_of_Grapes1155.jpg,Black_Rot_of_Grapes1155.jpg,grape,fungal,Black Rot,Guignardia bidwellii,grape__fungal__black_rot,11,plantdoc_field,field,train
